# vostok matching ledger - generated by vostok.ledger.store. DO NOT hand-edit.
#   one row per target function; the derived roster is rebuilt from report.json
#
#   cur    fuzzy % in this build (noisy under LTCG/ICF)
#   max    peak for THIS source body (`hash`); resets only when `hash` changes.
#          Campaign goal: drive every max to 100.
#   hist   all-time peak; NEVER resets. hist > max = we had it better once.
#   tries  matcher dispatches that included this function (high = hard to match).
#          It moves ONLY when someone runs `vostok ledger tried` - a build that
#          changes the body does NOT bump it.
#   hash   12 hex chars of the function's own source body. Module/TU context is
#          deliberately excluded - it is diagnosis, not a gate.
#   cls    MATCH (statements identical) | SIZE (same count+geometry, bytes
#          differ) | QUANTITY (counts differ) | SPLIT (counts equal, unpairable)
#   status done (max>=100) | inprogress | blocked (something missing) |
#          parked (failed to raise it further)
mangled	unit	module	status	cls	cur	max	hist	tries	size	flags	hash	note
??$?0PAXUnoop_deleter@socket_ops@detail@asio@boost@@@shared_count@detail@boost@@QAE@PAXUnoop_deleter@socket_ops@1asio@2@@Z	boost/smart_ptr/detail/shared_count.hpp	boost	done	SIZE	88.5227	100	100	0	149		346bf1fe4625	
??$?0PBD@buffer_string@vostok@@QAE@PADABIABQBD2@Z	vostok/buffer_string_inline.h	vostok	done	MATCH	100	100	100	0	65	f	e1446d2d6cae	
??$?0PBD@native_path_string@fs_new@vostok@@QAE@ABQBD@Z	vostok/fs/native_path_string.h	fs	done	MATCH	100	100	100	2	40	f	d2a797e953b6	auto: at 100% ceiling, demoted from queue
??$?0PBD@path_string_impl@fs_new@vostok@@QAE@DABQBD@Z	vostok/fs/path_string_impl_inline.h	fs	done	MATCH	100	100	100	2	53	f	e492b03076e5	auto: at 100% ceiling, demoted from queue
??$?0PBD@virtual_path_string@fs_new@vostok@@QAE@ABQBD@Z	vostok/fs/virtual_path_string.h	fs	parked	MATCH	20.6154	56.0769	56.0769	0	30		2d67372fbfed	fs: structure faithful (verified). 5 TRGT_ONLY injected (open_cached_file 28-stmt cache fn, open_file_cache ctor, path_string_impl::operator=, convert_to_absolute_path_inplace + dtor) + a self-guard fix cascaded to 8 improvements. Residuals = /Ob2 inline-vs-call + ICF-fold codegen (SAME flags as target, /Ob2 picks inline-vs-call per-site on incomplete-program reachability). The 10 un-injectable TRGT_ONLY are ICF-folds (already in base under another COMDAT) / inline walls / need-reachability-from-outside-fs - require vtable-emission/delink-attribution, not source. Not steerable per-fn.
??$?0PBDPADPBD@tuples@detail@strings@vostok@@QAE@PBDPAD0@Z	vostok/strings_detail_tuples_inline.h	vostok	blocked				0	0	120	f		
??$?0PBDPBD@tuples@detail@strings@vostok@@QAE@PBD0@Z	vostok/strings_detail_tuples_inline.h	vostok	done	MATCH	100	100	100	1	101	f	89c309fc3cb6	auto: at 100% ceiling, demoted from queue
??$?0PBDPBDPBD@tuples@detail@strings@vostok@@QAE@PBD00@Z	vostok/strings_detail_tuples_inline.h	vostok	done	MATCH	100	100	100	1	151	f	c0c45f7a4e40	auto: at 100% ceiling, demoted from queue
??$?0PBDPBDPBDPBDPBD@tuples@detail@strings@vostok@@QAE@PBD0000@Z	vostok/strings_detail_tuples_inline.h	vostok	blocked	QUANTITY		90.8974	90.8974	0	113			
??$?0PBUgame_object@ai@vostok@@@?$vectora_allocator@PBX@vostok@@QAE@ABV?$vectora_allocator@PBUgame_object@ai@vostok@@@1@@Z	vostok/vectora.h	vostok	blocked				0	0	34			
??$?0Uhelper@?$platform_pointer_selector@D$00@vostok@@@path_string_impl@fs_new@vostok@@QAE@DABUhelper@?$platform_pointer_selector@D$00@2@@Z	vostok/fs/path_string_impl_inline.h	fs	done	MATCH	100	100	100	1	58		e492b03076e5	
??$?0Utimer_thread_function@win_iocp_io_service@detail@asio@boost@@@win_thread@detail@asio@boost@@QAE@Utimer_thread_function@win_iocp_io_service@123@I@Z	boost/asio/detail/win_thread.hpp	boost	done	MATCH	100	100	100	0	153		2ad803098c98	
??$?0V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@?$stream@AAV?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@ssl@asio@boost@@QAE@AAV?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@23@AAVcontext@123@@Z	boost/asio/ssl/stream.hpp	boost	done	MATCH	99.7027	100	100	0	107		684108b9ca38	
??$?0V?$bind_t@IV?$cmf1@IVai_world@ai@vostok@@PBD@_mfi@boost@@V?$list2@V?$value@PAVai_world@ai@vostok@@@_bi@boost@@U?$arg@$00@3@@_bi@3@@_bi@boost@@@?$function1@IPBD@boost@@QAE@V?$bind_t@IV?$cmf1@IVai_world@ai@vostok@@PBD@_mfi@boost@@V?$list2@V?$value@PAVai_world@ai@vostok@@@_bi@boost@@U?$arg@$00@3@@_bi@3@@_bi@1@H@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	1	122		bbe132cd2f39	auto: at 100% ceiling, demoted from queue
??$?0V?$bind_t@MV?$mf4@MVmedkit@survarium@@PBDPBDMM@_mfi@boost@@V?$list5@V?$value@PAVmedkit@survarium@@@_bi@boost@@U?$arg@$00@3@U?$arg@$01@3@U?$arg@$02@3@U?$arg@$03@3@@_bi@3@@_bi@boost@@@?$function@$$A6AMPBD0MM@Z@boost@@QAE@V?$bind_t@MV?$mf4@MVmedkit@survarium@@PBDPBDMM@_mfi@boost@@V?$list5@V?$value@PAVmedkit@survarium@@@_bi@boost@@U?$arg@$00@3@U?$arg@$01@3@U?$arg@$02@3@U?$arg@$03@3@@_bi@3@@_bi@1@H@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	1	122		a2d94b68e81d	auto: at 100% ceiling, demoted from queue
??$?0V?$bind_t@MV?$mf4@MVoxygen_tank@survarium@@PBDPBDMM@_mfi@boost@@V?$list5@V?$value@PAVoxygen_tank@survarium@@@_bi@boost@@U?$arg@$00@3@U?$arg@$01@3@U?$arg@$02@3@U?$arg@$03@3@@_bi@3@@_bi@boost@@@?$function4@MPBDPBDMM@boost@@QAE@V?$bind_t@MV?$mf4@MVoxygen_tank@survarium@@PBDPBDMM@_mfi@boost@@V?$list5@V?$value@PAVoxygen_tank@survarium@@@_bi@boost@@U?$arg@$00@3@U?$arg@$01@3@U?$arg@$02@3@U?$arg@$03@3@@_bi@3@@_bi@1@H@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	1	122		bbe132cd2f39	auto: at 100% ceiling, demoted from queue
??$?0V?$bind_t@Uunspecified@_bi@boost@@V?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4lobby_server_message_types_enum@2@@Z@3@V?$list4@V?$value@W4connection_error_types_enum@vostok@@@_bi@boost@@V?$value@W4handshaking_error_types_enum@vostok@@@23@V?$value@W4socket_error_types_enum@vostok@@@23@V?$value@W4lobby_server_message_types_enum@vostok@@@23@@23@@_bi@boost@@@?$function0@X@boost@@QAE@V?$bind_t@Uunspecified@_bi@boost@@V?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4lobby_server_message_types_enum@2@@Z@3@V?$list4@V?$value@W4connection_error_types_enum@vostok@@@_bi@boost@@V?$value@W4handshaking_error_types_enum@vostok@@@23@V?$value@W4socket_error_types_enum@vostok@@@23@V?$value@W4lobby_server_message_types_enum@vostok@@@23@@23@@_bi@1@H@Z	boost/function/function_template.hpp	boost	inprogress	SIZE	87.3438	87.3438	87.3438	0	92		bbe132cd2f39	
??$?0V?$bind_t@Uunspecified@_bi@boost@@V?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4lobby_server_message_types_enum@2@@Z@3@V?$list4@V?$value@W4connection_error_types_enum@vostok@@@_bi@boost@@V?$value@W4handshaking_error_types_enum@vostok@@@23@V?$value@W4socket_error_types_enum@vostok@@@23@V?$value@W4lobby_server_message_types_enum@vostok@@@23@@23@@_bi@boost@@@?$function@$$A6AXXZ@boost@@QAE@V?$bind_t@Uunspecified@_bi@boost@@V?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4lobby_server_message_types_enum@2@@Z@3@V?$list4@V?$value@W4connection_error_types_enum@vostok@@@_bi@boost@@V?$value@W4handshaking_error_types_enum@vostok@@@23@V?$value@W4socket_error_types_enum@vostok@@@23@V?$value@W4lobby_server_message_types_enum@vostok@@@23@@23@@_bi@1@H@Z	boost/function/function_template.hpp	boost	inprogress	MATCH	86.9355	86.9355	86.9355	0	86		a2d94b68e81d	
??$?0V?$bind_t@Uunspecified@_bi@boost@@V?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@3@V?$list4@V?$value@W4connection_error_types_enum@vostok@@@_bi@boost@@V?$value@W4handshaking_error_types_enum@vostok@@@23@V?$value@W4socket_error_types_enum@vostok@@@23@V?$value@W4login_server_message_types_enum@vostok@@@23@@23@@_bi@boost@@@?$function0@X@boost@@QAE@V?$bind_t@Uunspecified@_bi@boost@@V?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@3@V?$list4@V?$value@W4connection_error_types_enum@vostok@@@_bi@boost@@V?$value@W4handshaking_error_types_enum@vostok@@@23@V?$value@W4socket_error_types_enum@vostok@@@23@V?$value@W4login_server_message_types_enum@vostok@@@23@@23@@_bi@1@H@Z	boost/function/function_template.hpp	boost	inprogress	SIZE	87.3438	87.3438	87.3438	0	92		bbe132cd2f39	
??$?0V?$bind_t@Uunspecified@_bi@boost@@V?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@3@V?$list4@V?$value@W4connection_error_types_enum@vostok@@@_bi@boost@@V?$value@W4handshaking_error_types_enum@vostok@@@23@V?$value@W4socket_error_types_enum@vostok@@@23@V?$value@W4login_server_message_types_enum@vostok@@@23@@23@@_bi@boost@@@?$function@$$A6AXXZ@boost@@QAE@V?$bind_t@Uunspecified@_bi@boost@@V?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@@Z@3@V?$list4@V?$value@W4connection_error_types_enum@vostok@@@_bi@boost@@V?$value@W4handshaking_error_types_enum@vostok@@@23@V?$value@W4socket_error_types_enum@vostok@@@23@V?$value@W4login_server_message_types_enum@vostok@@@23@@23@@_bi@1@H@Z	boost/function/function_template.hpp	boost	inprogress	MATCH	86.9355	86.9355	86.9355	0	86		a2d94b68e81d	
??$?0V?$bind_t@Uunspecified@_bi@boost@@V?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@ABUsign_up_info@2@@Z@3@V?$list5@V?$value@W4connection_error_types_enum@vostok@@@_bi@boost@@V?$value@W4handshaking_error_types_enum@vostok@@@23@V?$value@W4socket_error_types_enum@vostok@@@23@V?$value@W4login_server_message_types_enum@vostok@@@23@V?$value@Usign_up_info@vostok@@@23@@23@@_bi@boost@@@?$function0@X@boost@@QAE@V?$bind_t@Uunspecified@_bi@boost@@V?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@ABUsign_up_info@2@@Z@3@V?$list5@V?$value@W4connection_error_types_enum@vostok@@@_bi@boost@@V?$value@W4handshaking_error_types_enum@vostok@@@23@V?$value@W4socket_error_types_enum@vostok@@@23@V?$value@W4login_server_message_types_enum@vostok@@@23@V?$value@Usign_up_info@vostok@@@23@@23@@_bi@1@H@Z	boost/function/function_template.hpp	boost	inprogress	SIZE	88.5714	88.5714	88.5714	0	82		bbe132cd2f39	
??$?0V?$bind_t@Uunspecified@_bi@boost@@V?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@ABUsign_up_info@2@@Z@3@V?$list5@V?$value@W4connection_error_types_enum@vostok@@@_bi@boost@@V?$value@W4handshaking_error_types_enum@vostok@@@23@V?$value@W4socket_error_types_enum@vostok@@@23@V?$value@W4login_server_message_types_enum@vostok@@@23@V?$value@Usign_up_info@vostok@@@23@@23@@_bi@boost@@@?$function@$$A6AXXZ@boost@@QAE@V?$bind_t@Uunspecified@_bi@boost@@V?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4login_server_message_types_enum@2@ABUsign_up_info@2@@Z@3@V?$list5@V?$value@W4connection_error_types_enum@vostok@@@_bi@boost@@V?$value@W4handshaking_error_types_enum@vostok@@@23@V?$value@W4socket_error_types_enum@vostok@@@23@V?$value@W4login_server_message_types_enum@vostok@@@23@V?$value@Usign_up_info@vostok@@@23@@23@@_bi@1@H@Z	boost/function/function_template.hpp	boost	inprogress	MATCH	88.1852	88.1852	88.1852	0	76		a2d94b68e81d	
??$?0V?$bind_t@Vfloat4x4@math@vostok@@V?$cmf2@Vfloat4x4@math@vostok@@Vplayer@survarium@@PBXABV123@@_mfi@boost@@V?$list3@V?$value@PAVplayer@survarium@@@_bi@boost@@U?$arg@$00@3@V?$reference_wrapper@$$CBVfloat4x4@math@vostok@@@3@@_bi@6@@_bi@boost@@@?$function1@Vfloat4x4@math@vostok@@PBX@boost@@QAE@V?$bind_t@Vfloat4x4@math@vostok@@V?$cmf2@Vfloat4x4@math@vostok@@Vplayer@survarium@@PBXABV123@@_mfi@boost@@V?$list3@V?$value@PAVplayer@survarium@@@_bi@boost@@U?$arg@$00@3@V?$reference_wrapper@$$CBVfloat4x4@math@vostok@@@3@@_bi@6@@_bi@1@H@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	0	73	f	bbe132cd2f39	
??$?0V?$bind_t@W4callback_return_type_enum@animation@vostok@@V?$mf1@W4callback_return_type_enum@animation@vostok@@Vweapon@survarium@@AAUanimation_callback_params@23@@_mfi@boost@@V?$list2@V?$value@PAVweapon@survarium@@@_bi@boost@@U?$arg@$00@3@@_bi@6@@_bi@boost@@@?$function1@W4callback_return_type_enum@animation@vostok@@AAUanimation_callback_params@23@@boost@@QAE@V?$bind_t@W4callback_return_type_enum@animation@vostok@@V?$mf1@W4callback_return_type_enum@animation@vostok@@Vweapon@survarium@@AAUanimation_callback_params@23@@_mfi@boost@@V?$list2@V?$value@PAVweapon@survarium@@@_bi@boost@@U?$arg@$00@3@@_bi@6@@_bi@1@H@Z	boost/function/function_template.hpp	boost	blocked				0	0	73	f		
??$?0V?$bind_t@W4callback_return_type_enum@animation@vostok@@V?$mf1@W4callback_return_type_enum@animation@vostok@@Vweapon_core@survarium@@AAUanimation_callback_params@23@@_mfi@boost@@V?$list2@V?$value@PAVweapon_core@survarium@@@_bi@boost@@U?$arg@$00@3@@_bi@6@@_bi@boost@@@?$function1@W4callback_return_type_enum@animation@vostok@@AAUanimation_callback_params@23@@boost@@QAE@V?$bind_t@W4callback_return_type_enum@animation@vostok@@V?$mf1@W4callback_return_type_enum@animation@vostok@@Vweapon_core@survarium@@AAUanimation_callback_params@23@@_mfi@boost@@V?$list2@V?$value@PAVweapon_core@survarium@@@_bi@boost@@U?$arg@$00@3@@_bi@6@@_bi@1@H@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	0	122		bbe132cd2f39	
??$?0V?$bind_t@W4callback_return_type_enum@animation@vostok@@V?$mf2@W4callback_return_type_enum@animation@vostok@@Vweapon@survarium@@AAUanimation_callback_params@23@W4hands_enum@fingers_to_weapon_corrector@5@@_mfi@boost@@V?$list3@V?$value@PAVweapon@survarium@@@_bi@boost@@U?$arg@$00@3@V?$value@W4hands_enum@fingers_to_weapon_corrector@survarium@@@23@@_bi@6@@_bi@boost@@@?$function1@W4callback_return_type_enum@animation@vostok@@AAUanimation_callback_params@23@@boost@@QAE@V?$bind_t@W4callback_return_type_enum@animation@vostok@@V?$mf2@W4callback_return_type_enum@animation@vostok@@Vweapon@survarium@@AAUanimation_callback_params@23@W4hands_enum@fingers_to_weapon_corrector@5@@_mfi@boost@@V?$list3@V?$value@PAVweapon@survarium@@@_bi@boost@@U?$arg@$00@3@V?$value@W4hands_enum@fingers_to_weapon_corrector@survarium@@@23@@_bi@6@@_bi@1@H@Z	boost/function/function_template.hpp	boost	blocked				0	0	73	f		
??$?0V?$bind_t@W4callback_return_type_enum@animation@vostok@@V?$mf2@W4callback_return_type_enum@animation@vostok@@Vweapon_core@survarium@@AAUanimation_callback_params@23@W4hands_enum@hand_to_weapon_ik_processor@5@@_mfi@boost@@V?$list3@V?$value@PAVweapon_core@survarium@@@_bi@boost@@U?$arg@$00@3@V?$value@W4hands_enum@hand_to_weapon_ik_processor@survarium@@@23@@_bi@6@@_bi@boost@@@?$function1@W4callback_return_type_enum@animation@vostok@@AAUanimation_callback_params@23@@boost@@QAE@V?$bind_t@W4callback_return_type_enum@animation@vostok@@V?$mf2@W4callback_return_type_enum@animation@vostok@@Vweapon_core@survarium@@AAUanimation_callback_params@23@W4hands_enum@hand_to_weapon_ik_processor@5@@_mfi@boost@@V?$list3@V?$value@PAVweapon_core@survarium@@@_bi@boost@@U?$arg@$00@3@V?$value@W4hands_enum@hand_to_weapon_ik_processor@survarium@@@23@@_bi@6@@_bi@1@H@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	0	122		bbe132cd2f39	
??$?0V?$bind_t@W4command_result_enum@sound@vostok@@V?$mf0@W4command_result_enum@sound@vostok@@Vai_sound_player@survarium@@@_mfi@boost@@V?$list1@V?$value@PAVai_sound_player@survarium@@@_bi@boost@@@_bi@6@@_bi@boost@@@?$function0@X@boost@@QAE@V?$bind_t@W4command_result_enum@sound@vostok@@V?$mf0@W4command_result_enum@sound@vostok@@Vai_sound_player@survarium@@@_mfi@boost@@V?$list1@V?$value@PAVai_sound_player@survarium@@@_bi@boost@@@_bi@6@@_bi@1@H@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	0	73	f	bbe132cd2f39	
??$?0V?$bind_t@XP6AXAAV?$buffer_vector@V?$intrusive_ptr@Vsound_instance_proxy@sound@vostok@@V123@Vsingle_threading_policy@threading@3@@vostok@@@vostok@@ABVsound_instance_proxy@sound@2@@ZV?$list2@V?$reference_wrapper@V?$buffer_vector@V?$intrusive_ptr@Vsound_instance_proxy@sound@vostok@@V123@Vsingle_threading_policy@threading@3@@vostok@@@vostok@@@boost@@V?$reference_wrapper@$$CBVsound_instance_proxy@sound@vostok@@@2@@_bi@boost@@@_bi@boost@@@?$function@$$A6AXXZ@boost@@QAE@V?$bind_t@XP6AXAAV?$buffer_vector@V?$intrusive_ptr@Vsound_instance_proxy@sound@vostok@@V123@Vsingle_threading_policy@threading@3@@vostok@@@vostok@@ABVsound_instance_proxy@sound@2@@ZV?$list2@V?$reference_wrapper@V?$buffer_vector@V?$intrusive_ptr@Vsound_instance_proxy@sound@vostok@@V123@Vsingle_threading_policy@threading@3@@vostok@@@vostok@@@boost@@V?$reference_wrapper@$$CBVsound_instance_proxy@sound@vostok@@@2@@_bi@boost@@@_bi@1@H@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	0	67	f	a2d94b68e81d	
??$?0V?$bind_t@XP6AXAAVqueries_result@resources@vostok@@PAVquery_result_for_cook@23@@ZV?$list2@U?$arg@$00@boost@@V?$value@PAVquery_result_for_cook@resources@vostok@@@_bi@2@@_bi@boost@@@_bi@boost@@@?$function@$$A6AXAAVqueries_result@resources@vostok@@@Z@boost@@QAE@V?$bind_t@XP6AXAAVqueries_result@resources@vostok@@PAVquery_result_for_cook@23@@ZV?$list2@U?$arg@$00@boost@@V?$value@PAVquery_result_for_cook@resources@vostok@@@_bi@2@@_bi@boost@@@_bi@1@H@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	1	38		a2d94b68e81d	auto: at 100% ceiling, demoted from queue
??$?0V?$bind_t@XP6AXAAVqueries_result@resources@vostok@@PAVspeedtree_tree@render@3@W4enum_vertex_input_type@53@@ZV?$list3@U?$arg@$00@boost@@V?$value@PAVspeedtree_tree@render@vostok@@@_bi@2@V?$value@W4enum_vertex_input_type@render@vostok@@@42@@_bi@boost@@@_bi@boost@@@?$function@$$A6AXAAVqueries_result@resources@vostok@@@Z@boost@@QAE@V?$bind_t@XP6AXAAVqueries_result@resources@vostok@@PAVspeedtree_tree@render@3@W4enum_vertex_input_type@53@@ZV?$list3@U?$arg@$00@boost@@V?$value@PAVspeedtree_tree@render@vostok@@@_bi@2@V?$value@W4enum_vertex_input_type@render@vostok@@@42@@_bi@boost@@@_bi@1@H@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	1	67	f	a2d94b68e81d	auto: at 100% ceiling, demoted from queue
??$?0V?$bind_t@XP6AXAAVqueries_result@resources@vostok@@V?$resource_ptr@Vbi_spline_skeleton_animation_baked@animation@vostok@@Vunmanaged_intrusive_base@resources@3@@23@@ZV?$list2@U?$arg@$00@boost@@V?$value@V?$resource_ptr@Vbi_spline_skeleton_animation_baked@animation@vostok@@Vunmanaged_intrusive_base@resources@3@@resources@vostok@@@_bi@2@@_bi@boost@@@_bi@boost@@@?$function1@XAAVqueries_result@resources@vostok@@@boost@@QAE@V?$bind_t@XP6AXAAVqueries_result@resources@vostok@@V?$resource_ptr@Vbi_spline_skeleton_animation_baked@animation@vostok@@Vunmanaged_intrusive_base@resources@3@@23@@ZV?$list2@U?$arg@$00@boost@@V?$value@V?$resource_ptr@Vbi_spline_skeleton_animation_baked@animation@vostok@@Vunmanaged_intrusive_base@resources@3@@resources@vostok@@@_bi@2@@_bi@boost@@@_bi@1@H@Z	boost/function/function_template.hpp	boost	done	MATCH	100	100	100	0	109	f	bbe132cd2f39	
